,1,message,label,4
0,40000,Depression sucks! #depression,sadness,0.958
1,40001,Feeling worthless as always #depression,sadness,0.958
2,40002,Feeling worthless as always ,sadness,0.958
3,40003,My #Fibromyalgia has been really bad lately which is not good for my mental state. I feel very overwhelmed #anxiety #bipolar #depression,sadness,0.946
4,40004,Im think ima lay in bed all day and sulk. Life is hitting me to hard rn,sadness,0.934
5,40005,So when I try I fail... and when I don't try... I still fail... #confused and #lost,sadness,0.917
6,40006,Extreme sadness,sadness,0.917
7,40007,my life in one word is depressing,sadness,0.917
8,40008,Panic attacks are the worst. Feeling really sick and still shaking. I should be a sleep. #anxiety #depression,sadness,0.917
9,40009,Feel so grim + ugly atm,sadness,0.8959999999999999
10,40010,Honestly depression is kicking my ass lately.. 😔,sadness,0.8959999999999999
11,40011,At my age all I see is gray. Is it gray because of my bad eyes or my perspective #depression  #healingjustice,sadness,0.8959999999999999
12,40012,"After 3 idk why I start feeling so depress, sad and lonely.",sadness,0.8959999999999999
13,40013,I sulk too much for my own good.,sadness,0.8959999999999999
14,40014,A night where depression is winning... #depression #fml #help,sadness,0.8959999999999999
15,40015,Going home is depressing,sadness,0.8959999999999999
16,40016,We can't even grieve over one black body before another one pops up due to pig brutality,sadness,0.892
17,40017,It's a gloomy ass day,sadness,0.888
18,40018,@Fra93_bruno wow I'm just really sadden by that. Terrible,sadness,0.875
19,40019,My heads still in Ibiza but my body is sat at me desk at work #depressing,sadness,0.875
20,40020,@Ashleyavitia_ don't leave me #sad,sadness,0.875
21,40021,Depression sucks! ,sadness,0.875
22,40022,It's been a week of awful connectivity with @TMobile no service or only 4G is not what Im paying for. #unhappy #poorservice,sadness,0.87
23,40023,This the most depressing shit ever,sadness,0.861
24,40024,Sometimes The Worst Place You Can Be Is In Your Own Head.'\n\n#quotes #worstenemy #depression #thinktoomuch,sadness,0.8540000000000001
25,40025,"@TMobileHelp my service is down in Cleveland, OH. What's going on? #unhappy",sadness,0.8540000000000001
26,40026,What a sad evening - clearing out all of Harvey's cage and belongings. Now so final. Goodbye my little man.... #depressing,sadness,0.8540000000000001
27,40027,When you have 15 doe run the opposite side of you 🙁 #depression,sadness,0.8540000000000001
28,40028,The moment of the day when you have to start to plaster a smile in your face. #depression,sadness,0.8540000000000001
29,40029,I hate when it's gloomy outside because it always gets me in a depressing mood,sadness,0.8390000000000001
30,40030,People stealing things from my work out quite the damper on my day so now I am going to wear pajamas all day,sadness,0.833
31,40031,@FlakeJay ring ring! #depression is here,sadness,0.833
