,1,message,label,4
0,10857,@ZubairSabirPTI  pls dont insult the word 'Molna',anger,0.479
1,10858,@ArcticFantasy I would have almost took offense to this if I actually snapped you,anger,0.45799999999999996
2,10859,@IllinoisLoyalty that Rutgers game was an abomination. An affront to God and man. We must never speak of it again.,anger,0.562
3,10860,"@CozanGaming that's what lisa asked before she started raging at me, 'can I call you?' heh",anger,0.5
4,10861,Sometimes I get mad over something so minuscule I try to ruin somebodies life not like lose your job like get you into federal prison ,anger,0.708
5,10862,Sometimes I get mad over something so minuscule I try to ruin somebodies life not like lose your job like get you into federal prison #anger,anger,0.6459999999999999
6,10863,I think @Sam_Canaday &amp; @KYLEJDOWSON must actually have to be working like me &amp; @dowson_brady because I havent got any snap chat videos today,anger,0.25
7,10864,My eyes have been dilated. I hate the world right now with the rage of a thousand fiery dragons. I need a drink.,anger,0.812
8,10865,"@huwellwell One chosen by the CLP members! MP seats are not for people to dole out to their mates, we elect candidates. #fuming",anger,0.682
9,10866,"@huwellwell One chosen by the CLP members! MP seats are not for people to dole out to their mates, we elect candidates. ",anger,0.43799999999999994
10,10867,"@Yoshi_OnoChin can you please not have Canadian players play US players, that lag  is atrocious. #fixthisgame #trash #sfvrefund ",anger,0.6459999999999999
11,10868,@DailyMirror i love how theres no outrage that it's a white man but if it was a black man them BLM would be all over it regardless of reason,anger,0.726
12,10869,"Me being on my dean really saving a lot of ppl, bc I don't snap nomore &amp; it take so much out of me..",anger,0.348
13,10870,Sorry guys I have absolutely no idea what time i'll be on cam tomorrow but will keep you posted. #fuming,anger,0.41700000000000004
14,10871,Sorry guys I have absolutely no idea what time i'll be on cam tomorrow but will keep you posted. ,anger,0.20199999999999999
15,10872,"Is it me, or is Ding wearing the look of a man who's just found his arch enemy in bed with his missus? #angryman ",anger,0.557
16,10873,"Is it me, or is Ding wearing the look of a man who's just found his arch enemy in bed with his missus? #angryman #scowl",anger,0.5
17,10874,@__NETFLIXNCHILL I fuck with madden way harder,anger,0.521
18,10875,@TrussElise Obama must be fuming.. lol,anger,0.5
19,10876,Hate when guys cant control their anger 🙃🙃,anger,0.6459999999999999
